iter	Passed	Remaining
169	3173	183476
170	3194	183600
171	3213	183597
172	3232	183631
173	3249	183478
174	3265	183327
175	3281	183161
176	3298	183063
177	3316	183024
178	3332	182867
179	3349	182742
180	3366	182629
181	3385	182614
182	3403	182604
183	3421	182511
184	3437	182391
185	3454	182255
186	3470	182128
187	3487	182007
188	3508	182115
189	3533	182435
190	3555	182599
191	3577	182744
192	3601	182980
193	3621	183066
194	3644	183228
195	3667	183473
196	3690	183632
197	3714	183909
198	3731	183805
199	3748	183680
200	3765	183580
201	3782	183477
202	3799	183366
203	3815	183217
204	3830	183042
205	3846	182866
206	3862	182737
207	3878	182575
208	3893	182410
209	3909	182267
210	3926	182157
211	3943	182090
212	3960	181982
213	3977	181903
214	3994	181794
215	4011	181703
216	4028	181628
217	4044	181497
218	4060	181366
219	4075	181195
220	4092	181097
221	4114	181223
222	4136	181355
223	4158	181470
224	4179	181584
225	4203	181813
226	4224	181885
227	4245	181946
228	4266	182048
229	4285	182045
230	4301	181892
231	4317	181764
232	4332	181621
233	4349	181511
234	4367	181476
235	4385	181425
236	4402	181369
237	4418	181239
238	4436	181202
239	4452	181073
240	4468	180954
241	4484	180841
242	4501	180728
243	4517	180613
244	4533	180493
245	4550	180418
246	4566	180303
247	4582	180211
248	4600	180161
249	4619	180151
250	4636	180075
251	4653	180003
252	4670	179930
253	4686	179833
254	4704	179774
255	4723	179773
256	4745	179915
257	4767	180013
258	4791	180217
259	4816	180416
260	4842	180700
261	4862	180740
262	4882	180768
263	4902	180815
264	4920	180744
265	4936	180642
266	4953	180566
267	4970	180487
268	4986	180402
269	5002	180278
270	5018	180167
271	5033	180035
272	5049	179916
273	5065	179791
274	5083	179753
275	5099	179660
276	5116	179593
277	5133	179513
278	5150	179440
279	5165	179328
280	5184	179322
281	5203	179325
282	5225	179404
283	5249	179589
284	5270	179657
285	5292	179749
286	5319	180021
287	5339	180072
288	5361	180168
289	5380	180155
290	5399	180143
291	5416	180076
292	5433	180004
293	5450	179939
294	5468	179887
295	5486	179883
296	5503	179804
297	5519	179693
298	5536	179621
299	5552	179516
300	5567	179414
301	5586	179404
302	5603	179334
303	5619	179233
304	5636	179162
305	5652	179076
306	5668	178981
307	5688	178990
308	5709	179072
309	5732	179187
310	5755	179310
311	5778	179415
312	5797	179433
313	5820	179537
314	5840	179576
315	5859	179578
316	5877	179535
317	5894	179454
318	5911	179413
319	5930	179386
320	5948	179361
321	5965	179285
322	5983	179254
323	6003	179291
324	6022	179274
325	6038	179180
326	6054	179088
327	6071	179046
328	6088	178962
329	6104	178880
330	6121	178807
331	6137	178720
332	6154	178662
333	6173	178659
334	6190	178613
335	6209	178591
336	6226	178544
337	6246	178549
338	6267	178608
339	6286	178611
340	6311	178780
341	6332	178819
342	6353	178881
343	6375	178966
344	6393	178917
345	6409	178844
346	6421	178645
347	6437	178540
348	6453	178469
349	6470	178394
350	6490	178430
351	6509	178406
352	6526	178373
353	6543	178311
354	6562	178287
355	6577	178194
356	6594	178135
357	6611	178066
358	6629	178037
359	6646	177973
360	6665	177975
361	6681	177896
362	6698	177834
363	6714	177758
364	6736	177826
365	6757	177868
366	6779	177944
367	6803	178082
368	6828	178214
369	6850	178299
370	6872	178367
371	6892	178387
372	6913	178441
373	6929	178353
374	6945	178256
375	6960	178166
376	6978	178121
377	6993	178026
378	7012	178014
379	7029	177952
380	7046	177912
381	7062	177821
382	7081	177812
383	7097	177738
384	7113	177664
385	7130	177593
386	7148	177564
387	7165	177521
388	7181	177425
389	7198	177377
390	7216	177350
391	7236	177356
392	7257	177414
393	7279	177483
394	7301	177548
395	7322	177596
396	7341	177581
397	7358	177534
398	7377	177524
399	7395	177483
400	7411	177403
401	7427	177339
402	7460	177659
403	7479	177666
404	7496	177602
405	7513	177548
406	7530	177501
407	7547	177441
408	7563	177357
409	7579	177285
410	7597	177248
411	7611	177143
412	7628	177091
413	7644	177014
414	7660	176927
415	7676	176857
416	7696	176878
417	7715	176873
418	7734	176868
419	7753	176854
420	7774	176898
421	7797	176986
422	7818	177009
423	7838	177024
424	7859	177062
425	7880	177096
426	7898	177086
427	7917	177068
428	7933	176996
429	7948	176901
430	7966	176875
431	7981	176774
432	7996	176678
433	8014	176653
434	8030	176579
435	8046	176500
436	8062	176440
437	8079	176392
438	8096	176331
439	8112	176269
440	8130	176225
441	8146	176164
442	8163	176111
443	8179	176034
444	8196	176002
445	8213	175951
446	8230	175903
447	8247	175843
448	8263	175780
449	8279	175707
450	8298	175695
451	8319	175734
452	8339	175760
453	8360	175784
454	8383	175879
455	8405	175915
456	8425	175937
457	8447	175992
458	8469	176042
459	8488	176039
460	8505	175991
461	8521	175924
462	8537	175854
463	8553	175789
464	8569	175711
465	8583	175611
466	8599	175544
467	8615	175484
468	8632	175431
469	8648	175370
470	8665	175318
471	8682	175261
472	8698	175194
473	8714	175128
474	8730	175078
475	8745	174991
476	8761	174912
477	8776	174826
478	8792	174772
479	8810	174743
480	8826	174672
481	8841	174583
482	8856	174506
483	8872	174448
484	8893	174483
485	8914	174517
486	8936	174573
487	8958	174627
488	8979	174648
489	8997	174624
490	9020	174700
491	9042	174749
492	9062	174760
493	9080	174743
494	9097	174694
495	9113	174626
496	9129	174570
497	9145	174507
498	9163	174469
499	9180	174430
500	9197	174387
501	9213	174318
502	9229	174257
503	9244	174175
504	9259	174104
505	9276	174053
506	9293	174002
507	9311	173977
508	9326	173910
509	9344	173872
510	9362	173847
511	9376	173763
512	9397	173792
513	9415	173766
514	9431	173702
515	9448	173667
516	9470	173709
517	9492	173755
518	9517	173855
519	9538	173893
520	9563	174000
521	9584	174034
522	9607	174099
523	9627	174096
524	9645	174083
525	9662	174038
526	9678	173971
527	9694	173904
528	9709	173838
529	9724	173762
530	9743	173743
531	9759	173688
532	9776	173645
533	9793	173597
534	9809	173553
535	9826	173509
536	9842	173447
537	9858	173389
538	9877	173375
539	9894	173343
540	9913	173334
541	9929	173270
542	9945	173219
543	9962	173173
544	9978	173108
545	9994	173052
546	10010	172995
547	10026	172941
548	10043	172896
549	10059	172847
550	10076	172799
551	10092	172742
552	10110	172717
553	10127	172685
554	10146	172666
555	10161	172603
556	10180	172595
557	10197	172552
558	10216	172541
559	10233	172504
560	10250	172460
561	10264	172379
562	10279	172311
563	10295	172254
564	10311	172200
565	10328	172146
566	10346	172134
567	10362	172081
568	10378	172020
569	10393	171949
570	10409	171892
571	10425	171832
572	10440	171770
573	10460	171783
574	10480	171790
575	10497	171750
576	10515	171723
577	10531	171669
578	10548	171640
579	10564	171576
580	10581	171552
581	10598	171500
582	10615	171461
583	10632	171435
584	10648	171380
585	10664	171325
586	10682	171299
587	10697	171231
588	10712	171169
589	10728	171108
590	10746	171087
591	10762	171042
592	10779	171003
593	10796	170962
594	10815	170952
595	10836	170988
596	10857	171015
597	10878	171032
598	10901	171098
599	10923	171136
600	10942	171123
601	10959	171095
602	10976	171052
603	10993	171014
604	11005	170901
605	11023	170888
606	11042	170870
607	11061	170877
608	11078	170836
609	11096	170818
610	11115	170806
611	11133	170792
612	11152	170786
613	11170	170755
614	11187	170727
615	11204	170688
616	11221	170648
617	11236	170583
618	11254	170559
619	11270	170507
620	11287	170482
621	11304	170435
622	11320	170388
623	11337	170359
624	11353	170308
625	11371	170276
626	11387	170228
627	11405	170204
628	11421	170157
629	11438	170121
630	11455	170088
631	11472	170059
632	11490	170039
633	11509	170025
634	11525	169981
635	11543	169953
636	11561	169933
637	11579	169912
638	11601	169959
639	11622	169981
640	11645	170026
641	11671	170124
642	11692	170144
643	11715	170200
644	11737	170234
645	11756	170228
646	11773	170193
647	11790	170155
648	11807	170120
649	11824	170087
650	11842	170064
651	11860	170044
652	11877	170020
653	11895	169996
654	11913	169965
655	11929	169924
656	11945	169877
657	11961	169828
658	11978	169789
659	11995	169755
660	12013	169732
661	12031	169709
662	12049	169690
663	12065	169640
664	12081	169592
665	12099	169568
666	12116	169534
667	12132	169491
668	12148	169440
669	12164	169390
670	12180	169348
671	12197	169316
672	12215	169298
673	12232	169255
674	12250	169235
675	12267	169200
676	12284	169171
677	12300	169125
678	12316	169080
679	12332	169032
680	12348	168984
681	12366	168954
682	12383	168931
683	12401	168902
684	12418	168874
685	12436	168850
686	12452	168806
687	12468	168754
688	12483	168704
689	12500	168668
690	12516	168620
691	12534	168598
692	12553	168588
693	12570	168561
694	12586	168518
695	12603	168476
696	12620	168448
697	12638	168427
698	12653	168369
699	12668	168314
700	12684	168268
701	12701	168229
702	12717	168187
703	12733	168135
704	12750	168104
705	12766	168066
706	12783	168036
707	12801	168010
708	12817	167964
709	12833	167925
710	12850	167886
711	12867	167851
712	12884	167823
713	12902	167800
714	12921	167800
715	12938	167769
716	12954	167724
717	12974	167722
718	12991	167699
719	13008	167667
720	13030	167693
721	13050	167710
722	13074	167765
723	13096	167796
724	13118	167827
725	13139	167843
726	13157	167819
727	13174	167795
728	13193	167780
729	13212	167775
730	13228	167733
731	13245	167705
732	13262	167676
733	13278	167625
734	13294	167580
735	13310	167538
736	13325	167487
737	13342	167456
738	13362	167461
739	13379	167428
740	13397	167402
741	13415	167382
742	13430	167332
743	13449	167320
744	13467	167302
745	13483	167261
746	13499	167212
747	13515	167170
748	13530	167120
749	13546	167077
750	13563	167039
751	13585	167067
752	13609	167124
753	13630	167139
754	13650	167156
755	13671	167168
756	13694	167213
757	13714	167212
758	13733	167208
759	13750	167174
760	13766	167127
761	13781	167081
762	13797	167031
763	13812	166984
764	13830	166955
765	13847	166925
766	13862	166874
767	13879	166841
768	13896	166812
769	13913	166785
770	13930	166750
771	13947	166715
772	13965	166696
773	13983	166682
774	14003	166681
775	14027	166737
776	14052	166808
777	14074	166830
778	14095	166845
779	14119	166898
780	14139	166900
781	14158	166894
782	14175	166865
783	14192	166838
784	14209	166804
785	14225	166763
786	14241	166719
787	14257	166679
788	14273	166636
789	14289	166589
790	14307	166569
791	14326	166569
792	14346	166572
793	14364	166553
794	14382	166532
795	14400	166508
796	14419	166497
797	14435	166462
798	14452	166428
799	14468	166384
800	14486	166364
801	14510	166419
802	14532	166448
803	14555	166477
804	14577	166506
805	14598	166522
806	14618	166528
807	14638	166525
808	14658	166533
809	14675	166506
810	14693	166479
811	14710	166450
812	14729	166449
813	14747	166429
814	14764	166392
815	14780	166352
816	14797	166324
817	14815	166298
818	14831	166265
819	14849	166242
820	14865	166202
821	14882	166167
822	14900	166145
823	14916	166113
824	14932	166070
825	14948	166021
826	14963	165970
827	14979	165933
828	14997	165915
829	15014	165881
830	15031	165852
831	15053	165881
832	15076	165913
833	15101	165967
834	15122	165990
835	15145	166019
836	15167	166040
837	15186	166039
838	15206	166041
839	15226	166036
840	15244	166023
841	15260	165978
842	15272	165896
843	15288	165859
844	15305	165822
845	15322	165790
846	15342	165796
847	15359	165763
848	15376	165734
849	15392	165696
850	15407	165649
851	15423	165606
852	15439	165565
853	15458	165551
854	15475	165524
855	15493	165506
856	15510	165474
857	15526	165435
858	15541	165389
859	15557	165342
860	15573	165306
861	15594	165315
862	15616	165336
863	15640	165380
864	15663	165417
865	15686	165449
866	15706	165454
867	15727	165463
868	15748	165472
869	15770	165499
870	15790	165502
871	15808	165485
872	15825	165451
873	15841	165411
874	15857	165372
875	15873	165329
876	15889	165294
877	15906	165260
878	15923	165226
879	15938	165178
880	15955	165153
881	15973	165130
882	15989	165093
883	16005	165048
884	16021	165013
885	16039	164996
886	16056	164962
887	16074	164939
888	16090	164906
889	16110	164904
890	16129	164894
891	16145	164860
892	16162	164830
893	16179	164794
894	16195	164756
895	16211	164722
896	16229	164699
897	16249	164700
898	16274	164756
899	16296	164780
900	16318	164801
901	16342	164841
902	16363	164846
903	16383	164851
904	16407	164892
905	16429	164909
906	16448	164897
907	16465	164877
908	16481	164838
909	16498	164801
910	16516	164781
911	16536	164780
912	16551	164738
913	16567	164699
914	16584	164668
915	16601	164636
916	16617	164598
917	16634	164564
918	16649	164518
919	16666	164490
920	16682	164453
921	16700	164432
922	16715	164386
923	16732	164354
924	16748	164316
925	16765	164283
926	16781	164247
927	16800	164242
928	16820	164244
929	16844	164278
930	16867	164310
931	16889	164332
932	16913	164370
933	16934	164378
934	16954	164378
935	16977	164405
936	16996	164396
937	17016	164399
938	17037	164404
939	17054	164379
940	17071	164343
941	17088	164313
942	17104	164279
943	17121	164250
944	17137	164213
945	17153	164173
946	17171	164149
947	17187	164118
948	17206	164105
949	17222	164063
950	17239	164037
951	17257	164017
952	17274	163991
953	17293	163980
954	17310	163948
955	17326	163914
956	17344	163889
957	17363	163881
958	17379	163846
959	17395	163810
960	17412	163776
961	17429	163749
962	17447	163733
963	17469	163745
964	17493	163783
965	17517	163825
966	17541	163857
967	17565	163894
968	17587	163914
969	17611	163947
970	17632	163961
971	17655	163982
972	17676	163988
973	17698	164011
974	17716	163991
975	17733	163960
976	17748	163919
977	17764	163877
978	17780	163840
979	17795	163794
980	17814	163777
981	17833	163765
982	17850	163738
983	17866	163707
984	17883	163678
985	17901	163651
986	17916	163608
987	17932	163573
988	17949	163537
989	17965	163501
990	17980	163458
991	17998	163434
992	18015	163412
993	18032	163378
994	18048	163339
995	18065	163310
996	18085	163311
997	18108	163340
998	18129	163345
999	18151	163366
1000	18175	163393
1001	18196	163407
1002	18218	163419
1003	18239	163424
1004	18261	163443
1005	18281	163445
1006	18306	163487
1007	18324	163469
1008	18340	163430
1009	18357	163396
1010	18374	163371
1011	18390	163332
1012	18407	163306
1013	18432	163349
1014	18451	163337
1015	18467	163301
1016	18483	163259
1017	18499	163224
1018	18515	163186
1019	18531	163151
1020	18547	163113
1021	18565	163089
1022	18582	163068
1023	18600	163041
1024	18617	163015
1025	18635	162997
1026	18654	162985
1027	18672	162962
1028	18687	162925
1029	18706	162908
1030	18724	162894
1031	18742	162870
1032	18759	162838
1033	18779	162839
1034	18803	162875
1035	18828	162914
1036	18852	162942
1037	18875	162967
1038	18896	162977
1039	18921	163016
1040	18943	163034
1041	18962	163020
1042	18982	163014
1043	19001	163009
1044	19017	162964
1045	19033	162929
1046	19049	162892
1047	19065	162861
1048	19083	162834
1049	19099	162804
1050	19117	162780
1051	19135	162758
1052	19150	162719
1053	19166	162682
1054	19182	162643
1055	19199	162610
1056	19214	162568
1057	19231	162541
1058	19246	162497
1059	19262	162458
1060	19277	162415
1061	19294	162390
1062	19311	162357
1063	19328	162332
1064	19346	162310
1065	19363	162281
1066	19379	162250
1067	19401	162263
1068	19424	162280
1069	19448	162312
1070	19470	162326
1071	19494	162358
1072	19515	162365
1073	19535	162362
1074	19559	162391
1075	19579	162383
1076	19595	162350
1077	19624	162422
1078	19640	162381
1079	19656	162347
1080	19671	162303
1081	19687	162269
1082	19704	162241
1083	19723	162225
1084	19738	162186
1085	19754	162145
1086	19769	162103
1087	19785	162069
1088	19801	162028
1089	19817	161991
1090	19834	161966
1091	19850	161932
1092	19866	161892
1093	19881	161852
1094	19899	161830
1095	19915	161795
1096	19934	161781
1097	19951	161756
1098	19968	161732
1099	19985	161700
1100	20001	161663
1101	20018	161640
1102	20034	161601
1103	20049	161560
1104	20068	161548
1105	20084	161514
1106	20100	161476
1107	20116	161440
1108	20132	161404
1109	20148	161367
1110	20169	161370
1111	20190	161379
1112	20213	161401
1113	20235	161413
1114	20259	161443
1115	20282	161456
1116	20303	161463
1117	20326	161482
1118	20347	161486
1119	20367	161482
1120	20385	161463
1121	20402	161435
1122	20418	161402
1123	20435	161371
1124	20451	161342
1125	20468	161312
1126	20486	161290
1127	20505	161284
1128	20525	161275
1129	20545	161271
1130	20564	161257
1131	20585	161268
1132	20608	161281
1133	20628	161279
1134	20650	161292
1135	20667	161266
1136	20684	161239
1137	20704	161230
1138	20721	161204
1139	20736	161163
1140	20754	161146
1141	20773	161128
1142	20790	161104
1143	20806	161067
1144	20822	161035
1145	20840	161012
1146	20857	160988
1147	20874	160958
1148	20891	160933
1149	20908	160902
1150	20925	160880
1151	20943	160859
1152	20959	160823
1153	20977	160801
1154	20995	160784
1155	21012	160757
1156	21028	160720
1157	21045	160694
1158	21063	160673
1159	21079	160642
1160	21095	160609
1161	21112	160578
1162	21128	160542
1163	21144	160507
1164	21160	160473
1165	21176	160442
1166	21193	160414
1167	21210	160382
1168	21225	160343
1169	21243	160326
1170	21263	160324
1171	21285	160331
1172	21308	160351
1173	21330	160363
1174	21355	160391
1175	21376	160396
1176	21395	160381
1177	21414	160371
1178	21433	160362
1179	21453	160352
1180	21469	160321
1181	21487	160299
1182	21504	160278
1183	21524	160269
1184	21543	160260
1185	21564	160263
1186	21585	160261
1187	21606	160263
1188	21624	160248
1189	21643	160233
1190	21661	160218
1191	21679	160198
1192	21699	160189
1193	21715	160159
1194	21731	160124
1195	21749	160101
1196	21765	160070
1197	21782	160044
1198	21799	160012
1199	21817	159997
1200	21837	159989
1201	21855	159971
1202	21873	159953
1203	21890	159926
1204	21906	159893
1205	21924	159869
1206	21940	159836
1207	21956	159800
1208	21972	159769
1209	21988	159732
1210	22004	159698
1211	22019	159662
1212	22036	159630
1213	22053	159605
1214	22069	159570
1215	22085	159537
1216	22102	159512
1217	22121	159503
1218	22141	159492
1219	22159	159476
1220	22176	159452
1221	22194	159429
1222	22210	159398
1223	22227	159370
1224	22243	159337
1225	22260	159307
1226	22276	159274
1227	22292	159241
1228	22309	159213
1229	22325	159181
1230	22344	159169
1231	22361	159140
1232	22376	159106
1233	22393	159075
1234	22410	159054
1235	22427	159023
1236	22444	158999
1237	22461	158970
1238	22477	158936
1239	22494	158910
1240	22512	158896
1241	22530	158872
1242	22546	158839
1243	22562	158807
1244	22580	158786
1245	22601	158792
1246	22617	158757
1247	22633	158723
1248	22648	158687
1249	22664	158652
1250	22679	158614
1251	22695	158580
1252	22711	158545
1253	22727	158511
1254	22743	158480
1255	22759	158447
1256	22775	158416
1257	22793	158396
1258	22811	158377
1259	22829	158356
1260	22847	158335
1261	22863	158305
1262	22880	158280
1263	22898	158261
1264	22915	158234
1265	22933	158217
1266	22951	158197
1267	22970	158184
1268	22988	158166
1269	23004	158136
1270	23022	158116
1271	23038	158082
1272	23055	158054
1273	23072	158028
1274	23088	157995
1275	23105	157970
1276	23123	157956
1277	23139	157923
1278	23156	157892
1279	23172	157859
1280	23187	157825
1281	23203	157793
1282	23220	157762
1283	23237	157740
1284	23254	157713
1285	23270	157681
1286	23287	157659
1287	23304	157633
1288	23326	157637
1289	23343	157616
1290	23360	157590
1291	23378	157567
1292	23394	157535
1293	23411	157512
1294	23427	157482
1295	23444	157454
1296	23460	157423
1297	23478	157402
1298	23495	157380
1299	23512	157352
1300	23528	157323
1301	23545	157293
1302	23561	157266
1303	23577	157231
1304	23595	157212
1305	23613	157194
1306	23631	157174
1307	23649	157157
1308	23666	157131
1309	23682	157103
1310	23700	157080
1311	23718	157064
1312	23736	157042
1313	23753	157019
1314	23773	157011
1315	23789	156984
1316	23805	156951
1317	23824	156938
1318	23841	156910
1319	23858	156889
1320	23874	156855
1321	23891	156830
1322	23908	156805
1323	23924	156772
1324	23940	156743
1325	23957	156719
1326	23975	156701
1327	23992	156674
1328	24009	156648
1329	24026	156627
1330	24043	156599
1331	24060	156574
1332	24077	156547
1333	24094	156526
1334	24113	156515
1335	24132	156497
1336	24151	156489
1337	24186	156582
1338	24218	156651
1339	24240	156659
1340	24263	156675
1341	24285	156680
1342	24306	156682
1343	24326	156671
1344	24341	156636
1345	24357	156605
1346	24373	156573
1347	24389	156540
1348	24406	156516
1349	24423	156491
1350	24442	156476
1351	24461	156466
1352	24479	156450
1353	24497	156430
1354	24515	156411
1355	24532	156388
1356	24549	156360
1357	24567	156342
1358	24585	156324
1359	24602	156297
1360	24624	156308
1361	24646	156310
1362	24668	156315
1363	24690	156322
1364	24711	156322
1365	24735	156346
1366	24755	156335
1367	24775	156331
1368	24792	156308
1369	24811	156296
1370	24830	156280
1371	24847	156256
1372	24864	156229
1373	24882	156211
1374	24899	156185
1375	24915	156157
1376	24932	156133
1377	24950	156114
1378	24967	156085
1379	24983	156056
1380	24999	156026
1381	25017	156006
1382	25034	155983
1383	25051	155957
1384	25070	155947
1385	25097	155981
1386	25119	155984
1387	25142	155999
1388	25163	156001
1389	25183	155993
1390	25206	156005
1391	25226	155999
1392	25247	155998
1393	25265	155977
1394	25283	155961
1395	25309	155993
1396	25326	155967
1397	25342	155937
1398	25358	155905
1399	25375	155878
1400	25392	155852
1401	25410	155831
1402	25426	155805
1403	25444	155782
1404	25462	155765
1405	25479	155741
1406	25496	155712
1407	25513	155692
1408	25531	155674
1409	25550	155660
1410	25574	155675
1411	25596	155682
1412	25619	155693
1413	25656	155790
1414	25679	155799
1415	25700	155801
1416	25719	155787
1417	25738	155776
1418	25756	155756
1419	25774	155733
1420	25790	155703
1421	25806	155672
1422	25822	155644
1423	25839	155617
1424	25860	155615
1425	25876	155585
1426	25892	155552
1427	25907	155519
1428	25922	155483
1429	25937	155446
1430	25953	155413
1431	25970	155390
1432	25990	155382
1433	26009	155367
1434	26025	155337
1435	26043	155316
1436	26063	155311
1437	26086	155321
1438	26111	155346
1439	26137	155372
1440	26159	155379
1441	26179	155372
1442	26203	155386
1443	26222	155375
1444	26241	155363
1445	26261	155353
1446	26280	155338
1447	26296	155310
1448	26313	155285
1449	26330	155258
1450	26347	155233
1451	26364	155211
1452	26381	155186
1453	26398	155156
1454	26415	155133
1455	26433	155112
1456	26451	155093
1457	26468	155068
1458	26484	155039
1459	26502	155018
1460	26519	154997
1461	26537	154974
1462	26552	154942
1463	26569	154914
1464	26591	154922
1465	26613	154924
1466	26634	154921
1467	26653	154908
1468	26675	154912
1469	26697	154915
1470	26719	154922
1471	26741	154927
1472	26761	154917
1473	26780	154904
1474	26798	154884
1475	26814	154856
1476	26831	154828
1477	26847	154797
1478	26863	154770
1479	26879	154736
1480	26895	154707
1481	26911	154678
1482	26927	154646
1483	26942	154613
1484	26960	154590
1485	26977	154565
1486	26996	154553
1487	27013	154529
1488	27034	154524
1489	27056	154532
1490	27078	154533
1491	27101	154546
1492	27122	154543
1493	27147	154560
1494	27168	154558
1495	27188	154550
1496	27206	154531
1497	27222	154505
1498	27242	154497
1499	27260	154474
1500	27282	154477
1501	27300	154459
1502	27316	154430
1503	27333	154404
1504	27349	154374
1505	27366	154347
1506	27382	154320
1507	27399	154295
1508	27415	154265
1509	27430	154228
1510	27446	154200
1511	27462	154168
1512	27478	154137
1513	27494	154109
1514	27514	154098
1515	27534	154091
1516	27556	154094
1517	27579	154101
1518	27599	154096
1519	27621	154099
1520	27642	154095
1521	27664	154099
1522	27682	154078
1523	27699	154054
1524	27715	154024
1525	27732	153998
1526	27748	153969
1527	27765	153943
1528	27780	153912
1529	27798	153888
1530	27816	153871
1531	27832	153839
1532	27848	153811
1533	27864	153783
1534	27880	153749
1535	27896	153722
1536	27914	153699
1537	27933	153687
1538	27951	153668
1539	27970	153655
1540	27988	153637
1541	28006	153615
1542	28026	153610
1543	28051	153631
1544	28074	153638
1545	28101	153665
1546	28130	153707
1547	28150	153699
1548	28171	153695
1549	28191	153690
1550	28202	153630
1551	28218	153600
1552	28234	153572
1553	28250	153539
1554	28266	153509
1555	28286	153504
1556	28306	153496
1557	28322	153462
1558	28339	153439
1559	28355	153410
1560	28375	153400
1561	28392	153378
1562	28408	153346
1563	28423	153310
1564	28439	153282
1565	28454	153245
1566	28471	153220
1567	28492	153217
1568	28514	153222
1569	28536	153222
1570	28558	153227
1571	28579	153224
1572	28600	153219
1573	28620	153210
1574	28640	153201
1575	28660	153193
1576	28676	153166
1577	28693	153139
1578	28711	153119
1579	28730	153106
1580	28747	153081
1581	28763	153056
1582	28781	153036
1583	28797	153004
1584	28812	152967
1585	28826	152931
1586	28843	152905
1587	28859	152876
1588	28877	152854
1589	28895	152836
1590	28911	152806
1591	28927	152776
1592	28944	152751
1593	28960	152723
1594	28977	152699
1595	28993	152670
1596	29008	152637
1597	29028	152627
1598	29050	152630
1599	29070	152620
1600	29093	152626
1601	29110	152603
1602	29130	152595
1603	29150	152586
1604	29170	152579
1605	29188	152560
1606	29210	152562
1607	29228	152540
1608	29244	152510
1609	29260	152481
1610	29277	152455
1611	29292	152421
1612	29307	152388
1613	29322	152352
1614	29338	152323
1615	29356	152303
1616	29373	152279
1617	29390	152256
1618	29406	152226
1619	29422	152196
1620	29439	152171
1621	29455	152145
1622	29472	152122
1623	29490	152099
1624	29509	152085
1625	29526	152064
1626	29547	152061
1627	29568	152054
1628	29588	152048
1629	29609	152041
1630	29632	152048
1631	29651	152034
1632	29672	152031
1633	29696	152046
1634	29716	152037
1635	29733	152011
1636	29750	151987
1637	29767	151962
1638	29786	151949
1639	29802	151922
1640	29819	151896
1641	29834	151861
1642	29851	151836
1643	29867	151807
1644	29882	151775
1645	29896	151736
1646	29914	151714
1647	29930	151687
1648	29947	151660
1649	29963	151633
1650	29978	151599
1651	29993	151564
1652	30008	151532
1653	30024	151502
1654	30041	151478
1655	30058	151453
1656	30074	151425
1657	30091	151399
1658	30112	151396
1659	30135	151401
1660	30157	151406
1661	30180	151410
1662	30203	151417
1663	30221	151400
1664	30243	151399
1665	30260	151375
1666	30283	151379
1667	30300	151357
1668	30318	151335
1669	30336	151318
