index;weight
Ca;40.08
C;12.011
Fe;55.087
V;50.941
Mn;54.938
Si;28.986
Al;26.9815
Cr;51.996
Cu;63.546
Mo;95.94
N;14.007
Ni;58.7
P;30.974
S;32.066
Ti;47.9
O;15.999
R;
